timestamp,region_id,carbon_intensity_gco2kwh,renewable_pct,electricity_cost_usd_kwh
0,region_us_east,300,30,0.08
0,region_eu_west,280,35,0.15
0,region_asia_pac,500,20,0.05
0,region_us_west,200,45,0.14
3600,region_us_east,310,29,0.085
3600,region_eu_west,270,36,0.145
3600,region_asia_pac,510,19,0.055
3600,region_us_west,190,47,0.135
7200,region_us_east,320,28,0.09
7200,region_eu_west,260,38,0.14
7200,region_asia_pac,530,18,0.06
7200,region_us_west,180,49,0.13
10800,region_us_east,330,27,0.095
10800,region_eu_west,250,40,0.135
10800,region_asia_pac,550,17,0.06
10800,region_us_west,170,51,0.125
14400,region_us_east,340,26,0.10
14400,region_eu_west,240,42,0.13
14400,region_asia_pac,570,16,0.065
14400,region_us_west,160,53,0.12
18000,region_us_east,350,25,0.10
18000,region_eu_west,230,44,0.125
18000,region_asia_pac,590,15,0.065
18000,region_us_west,150,55,0.115
21600,region_us_east,360,24,0.105
21600,region_eu_west,220,46,0.12
21600,region_asia_pac,610,14,0.07
21600,region_us_west,140,57,0.11
25200,region_us_east,375,22,0.105
25200,region_eu_west,210,48,0.115
25200,region_asia_pac,630,13,0.07
25200,region_us_west,130,59,0.105
28800,region_us_east,390,20,0.11
28800,region_eu_west,200,50,0.11
28800,region_asia_pac,650,12,0.075
28800,region_us_west,120,61,0.10
32400,region_us_east,405,18,0.11
32400,region_eu_west,190,52,0.105
32400,region_asia_pac,670,11,0.075
32400,region_us_west,110,63,0.095
36000,region_us_east,420,17,0.115
36000,region_eu_west,180,54,0.10
36000,region_asia_pac,690,10,0.08
36000,region_us_west,105,65,0.095
39600,region_us_east,435,16,0.115
39600,region_eu_west,170,55,0.10
39600,region_asia_pac,700,9,0.08
39600,region_us_west,102,67,0.09
43200,region_us_east,450,15,0.12
43200,region_eu_west,150,55,0.10
43200,region_asia_pac,700,8,0.08
43200,region_us_west,100,70,0.09
46800,region_us_east,440,16,0.115
46800,region_eu_west,160,53,0.105
46800,region_asia_pac,690,9,0.075
46800,region_us_west,105,68,0.095
50400,region_us_east,430,17,0.115
50400,region_eu_west,170,51,0.11
50400,region_asia_pac,680,10,0.075
50400,region_us_west,110,66,0.10
54000,region_us_east,420,18,0.11
54000,region_eu_west,180,49,0.115
54000,region_asia_pac,670,11,0.07
54000,region_us_west,115,64,0.105
57600,region_us_east,405,20,0.11
57600,region_eu_west,190,47,0.12
57600,region_asia_pac,650,12,0.07
57600,region_us_west,120,62,0.11
61200,region_us_east,390,21,0.105
61200,region_eu_west,200,45,0.125
61200,region_asia_pac,630,13,0.065
61200,region_us_west,125,60,0.115
64800,region_us_east,375,23,0.105
64800,region_eu_west,210,43,0.13
64800,region_asia_pac,610,14,0.065
64800,region_us_west,130,58,0.12
68400,region_us_east,360,25,0.10
68400,region_eu_west,220,41,0.135
68400,region_asia_pac,590,15,0.06
68400,region_us_west,140,56,0.125
72000,region_us_east,345,26,0.095
72000,region_eu_west,230,39,0.14
72000,region_asia_pac,570,16,0.06
72000,region_us_west,150,54,0.13
75600,region_us_east,330,27,0.095
75600,region_eu_west,240,37,0.145
75600,region_asia_pac,550,17,0.055
75600,region_us_west,160,52,0.135
79200,region_us_east,315,29,0.09
79200,region_eu_west,250,35,0.15
79200,region_asia_pac,530,18,0.055
79200,region_us_west,170,50,0.14
82800,region_us_east,300,30,0.08
82800,region_eu_west,280,35,0.15
82800,region_asia_pac,500,20,0.05
82800,region_us_west,200,45,0.14
